,L,R
175,D2,A3C#4E4
176,D3,G4B4
177,z,G5
178,z,C6D#6
179,C3,C4
180,z,E5
181,z,G4
182,G3D4F4G4,B2
183,z,D5
184,z,D5
185,z,G5
186,z,A5
187,C3,C6
188,D#3G#3C4,B4D5
189,A#2,A#3
190,z,A4
191,G3,B4
192,z,G4
193,A#2,A#4
194,z,E5
195,C3,C6
196,A#2,A#3
197,z,G4
198,z,E5
199,z,B5
200,G3,B4
201,C#4,C#5
202,z,C5
203,C4,D#5
204,z,z
205,z,A4
206,D2A2F#3,D4F#4A4D5
207,z,G#5C6
208,z,G4
209,z,E5
210,z,A4
211,D#3G3C4,D#4G4D5
212,z,D5
213,A2,F#3A3C#4
214,z,G5
215,z,D5
216,C3,C4
217,z,C5
218,G2,D4G4B4
219,G3C4D#4,C5D#5C6
220,C#4,C#5
221,G3,B4
222,F#3,F#5
223,E3B3D4,E7
224,z,z
225,G#2,C5D#5G#5C6
226,D3F3G#3A#3,A#4D5F5
227,z,D5F5
228,z,C5
229,G3,B4
230,z,A5
231,z,z
232,z,A4
233,z,z
234,z,D4F4
235,D#3G3A#3,D#4G4A#4
236,C3,C4
237,F3G3B3,G#4
238,F3,D4
239,z,A4
240,A#2C3E3,E4G4C5
241,D#3G#3C4,C5D#5
242,z,E5
243,z,G5
244,A2,D4F#4A4
245,z,B5
246,z,C5
247,z,z
248,F3G3B3,G#4
249,z,E5
250,z,C5
251,z,z
252,z,z
253,z,E5
254,z,D5
255,z,z
256,C3,C6
257,z,D5
258,F3,F4
259,z,D5
260,G3,B4
261,G3,F#4
262,F3,F4
263,z,z
264,G2,A3D4F#4
265,z,F5G#5
266,z,E5
267,E3A3C4,A6
268,z,z
269,z,G5
270,z,E5
271,z,z
272,z,E5
273,C3,E5G5
274,G3,B4
275,z,z
276,F3G#3C4,C5F5G#5C6
277,z,G4
278,z,A5
279,z,A4
280,z,D5
281,z,D5
282,F#3,F#5
283,D#3G#3C4,C5D#5
284,C2C3,C5D#5G5C6
285,z,D5
286,z,G4
287,z,z
288,z,C5
289,F#3,D5B5
290,z,G5
291,z,F5
292,z,A4
293,z,G5
294,z,D5
295,z,G3
296,F3A3C4,A4C5
297,C3,C4
298,D#2,D#5G5A5
299,z,C5
300,z,E5
301,z,D5
302,z,G4
303,z,G5
304,z,A5
305,C3,C4E4
306,z,G3
307,z,A5
308,z,B5
309,z,D4F4
310,z,A4
311,z,z
312,A#2,D4F4A#4
313,F3,F5A5
314,z,A4
315,F3,D4
316,G3,B4
317,z,C5
318,G2,B4D5G5
319,z,z
320,z,A4
321,z,z
322,z,E4
323,z,G5
324,z,B5
325,z,C5
326,z,z
327,z,z
328,A2,C#5E5
329,z,C5
330,z,G4
331,A#2D#3G3,G4A#4
332,z,D5
333,z,z
334,z,D5
335,z,A4
336,z,A4
337,G3,A#5
338,z,G4
339,z,C5
340,F3G3B3,G#4
341,z,z
342,z,C5
343,G3,B4
344,D#3G#3C4,D#5G#5C6
345,z,D5
346,D#3G#3C4,C5D#5
347,z,D5F5
348,D#2,D#5G5A5
349,z,A4
350,A#2,A#3
351,z,z
352,A#2D#3G3,G4A#4D#5
353,E2,E3G3B3
354,z,G#5C6
355,z,z
356,F3,F4
357,F3,F4
358,z,A5
359,z,A5
360,z,D5
361,C3D#3G3,D#4D#5
362,z,D5
363,C#3F3A#3,C#5F5
364,G3,B4
365,A#2,A#4
366,z,z
367,D#3G3C4,D#4G4D#5
368,z,z
369,G3,B4
370,z,D5
371,z,C5
372,D#2,F5G5C#6
373,F3,F4
374,z,z
375,z,C5
376,z,z
377,z,C3D#3G3
378,z,B5
379,z,C5
380,G3,D#4
381,z,D5
382,D3,G4B4
383,F3,D4
384,A#2,A#4
385,C4D4,B4G#5
386,z,z
387,A#2,A#4
388,D3,A4B4
389,G3D4F4,B4D5F5G5B5
390,D3,D5A5B5
391,z,F5
392,F3,D4
393,F3G#3A#3D4,D4F4G#4C5
394,A#2D#3G3,D#4G4
395,z,z
396,G3,B4
397,z,F5
398,C3,E5G5
399,z,G5
400,z,D#5G5
401,z,E5
402,z,E5
403,z,A4
404,z,A4
405,z,A4
406,G3D4F4G4,B2
407,z,E5G5C6
408,C4D#4G4,C3
409,z,E5
410,z,B5
411,F3,D4
412,F3,D4
413,z,A4
414,G#3C4D4F4,F3
415,z,z
416,z,D5
417,z,E5
418,z,F5
419,z,A4
420,z,A5
421,A#2,D4F4A#4
422,C3D#3G3,G4G5
423,D#3G3C#4,D#5G5A#5
424,z,C5
425,F3,F4
426,F3,D4
427,z,D#5G5
428,z,C5
429,z,z
430,F3,D4
431,G3,B4
432,z,F5
433,z,G5
434,z,C5
435,z,C5
436,G3,F#4
437,F#3,F#5
438,z,E5
439,z,G4
440,z,G4
441,G3D4F4G4,G2
442,z,z
443,F3G#3C4,F4F5
444,z,z
445,z,D5F5
446,F#3,F#5
447,C3D#3G3,G4G5
448,z,E5
449,z,z
450,G3,B4
451,G3,D#4
452,G3,A#5
453,z,A4
454,G3,D#4
455,z,G5
456,z,G4
457,F#3,F#5
458,z,G4
459,z,C5
460,C4D4,B4G#5
461,z,F5
462,z,z
463,z,B5
464,z,E5
465,z,z
466,z,A5
467,G3,F#4
468,z,G4
469,z,B5D6
470,z,G5
471,z,G4
472,A2,E4A4
473,z,D5
474,z,A5
475,G3,A#5
476,z,z
477,z,z
478,A#2C3E3,E4G4C5
479,z,D6
480,z,G5
481,z,A5
482,z,z
483,z,D5
484,D#2,F5C#6
485,F#3,F#4B4D5
486,z,G4
487,B2,F#4C#5D5
488,G3C4D#4,D#5G5C6D#6
489,z,z
490,z,A4
491,F3G3,B3
492,z,A4
493,C3,C6
494,G3,F#4
495,z,G5
496,G#2,C5D#5G#5C6
497,C3D#3G#3,G4C5D#5
498,A#2,A#4
499,z,D5
500,G3,B4
501,G3,F#4
502,C4,D#5
503,z,G4
504,z,G4
505,z,E5
506,z,A4
507,z,E5
508,z,G5
509,z,C5
510,C2C3,C4D#4G4
511,D3,D5F#5
512,z,z
513,z,D5
514,z,D5
515,z,E4
516,F#3,F#4B4D5
517,G2,A3D4F#4
518,A#2D#3G3,G4A#4
519,z,z
520,z,C5
521,z,z
522,C#4,C#5
523,F3,D4
524,z,A5
525,D3F3G#3A#3,A#4D5F5
526,z,D5
527,F3,F4
528,z,D5
529,z,D6
530,E3G3C4,F4A4
531,G3,D#4
532,z,A4
533,z,z
534,D#3G#3C4,C5D#5
535,F3,D4
536,z,E5
537,z,E5G5C6
538,G3C4D#4,D#5G5C6D#6
539,D#3G#3C4,C5D#5
540,z,G5
541,z,E5
542,z,E5
543,G3,F#4
544,z,D#5G5
545,F#3,F#5
546,D2,C#4E4
547,C#4,C#5
548,z,C5
549,z,E4
550,z,A4
551,E3,E4A4C#5
552,F3G#3C4,F5G#5C6F6
553,z,A5
554,G3,B4
555,G3,B4
556,z,B5
557,z,C5
558,G2,A3D4F#4
559,z,A4
560,z,B5
561,E3,E4A4C#5
562,z,E4
563,z,C5
564,C3,C6
565,z,E4
566,F#3,F#5
567,G3,B4
568,G3,B4
569,z,A5
570,z,F5
571,z,E4
572,D#3G3C4,D#5C6
573,z,C5
574,A#2D#3G3,D#4G4
575,A#2,A#4
576,z,G5
577,z,F5
578,z,z
579,z,A5
580,z,D5
581,F3G3,B3
582,G3,B3D4
583,z,D5
584,z,E5
585,F#3,F#5
586,F3,F4
587,D3,G4B4
588,G3C4D#4,G5C6D#6G6
589,z,B5
590,G3,B4
591,A#2D#3G3,G4A#4
592,C3D#3F#3,F#4F#5
593,z,A5
594,z,D5
595,F#3,F#5
596,z,A5
597,z,z
598,G3,E4G4
599,A#2,A#3
600,G3,D#4
601,z,z
602,z,z
603,G2,G5B5
604,z,E5
605,z,D5
606,z,G5
607,F3G#3D4,D5F5A#5D6
608,z,G4
609,F3G#3C4D4,A#3D4F4
610,z,A4
611,G3,B4
612,G3,B4
613,z,D5
614,z,C5
615,z,A5
616,G3,B4
617,C3,C4E4
618,z,z
619,z,F5
620,D3F3G3,B3B4
621,F3,F5A5
622,A#2,A#3
623,D#3G3A#3,D#4G4A#4
624,C3,C4
625,G3,A#5
626,z,D5
627,F3,D4
628,E3G3,C5E5
629,z,z
630,z,G5
631,C4D4,B4G#5
632,G3,F#4
633,z,D5
634,F3,D4
635,z,F5
636,z,F5
637,F3,D4
638,z,D5
639,C3,C6
640,B2,C#5D5
641,G3,B4
642,G#2,C5D#5G#5C6
643,D#3G3C4,D#4G4D5
644,C3,A3
645,C4,D#5
646,D#2,D#5G5A#5D#6
647,z,A4
648,z,z
649,G3,D#4
650,E3A3C4,A6
651,z,E5
652,z,E5
653,z,E5
654,z,G4
655,C3D#3G3,D#4D#5
656,z,G4
657,z,A5
658,z,A4
659,G2,A#3D4G4
660,C#4,C#5
661,C3D#3G3,G4G5
662,F3,D4
663,G3,A#5
664,z,G4
665,A#1A#2,C5F5C6
666,C2C3,C5D#5G5C6
667,z,A5
668,z,D5
669,C3D#3G3,D#4D#5
670,z,E5
671,F#3,D5B5
672,C4D4,C5A5
673,C3,C4E4
674,z,C5
675,A#2D#3G3,D#4G4
676,G3,B4
677,z,D6
678,z,G5
679,D#3G#3A#3,D4F4C5
680,A2,F#3A3C#4
681,A#2D#3G3,D#4G4
682,z,D5
683,z,E5
684,F3,F4
685,z,A4
686,z,z
687,z,E5G5C6
688,C#4,C#5
689,z,G4
690,z,D5
691,z,E4
692,G3,A#5
693,z,G5
694,z,D5
695,z,D#5G5
696,z,A4
697,z,z
698,z,A5
699,z,D6
700,z,D5
701,z,A5
702,F#3,F#5
703,F3,F4
704,z,G5
705,A#2,D4F4A#4
706,G1G2,B3D4G4B4
707,z,G5
708,z,A4
709,F#3,F#5
710,z,D4F4
711,z,z
712,A3,E4E5
713,F3G#3D4,D5F5A#5D6
714,z,G5
715,z,C5
716,D2A2F#3,D4F#4A4D5
717,z,C5
718,A#2,D4F4A#4
719,z,D5
720,z,A4
721,z,A4
722,G3,F#4
723,z,D5
724,G2,D4G4B4
725,z,C3D#3G3
726,z,E5G5C6
727,z,E5
728,z,z
729,G3D4F4G4,B2
730,z,z
731,G2,E6
732,z,D5
733,G3,B3G4
734,F3,F4
735,z,z
736,z,G5
737,z,F5G#5
738,z,E5
739,z,G4
740,z,A4
741,z,G4
742,F3,F4
743,G3,B4
744,D#3G#3C4,B4D5
745,C3,C6
746,z,E5
747,F#3,F#5
748,z,G4
749,F3,F4
750,z,E5
751,z,G5
752,G3,B4
753,z,C5
754,z,E4
755,A2,F#3A3C#4
756,C#4,A4C#5E5
757,C4,D#5
758,F#3,F#5
759,z,E4
760,D#2,D#5G5A5
761,z,D5
762,G3,F#4
763,z,z
764,z,D5
765,z,z
766,A#2D#3G3,A#4D5
767,z,A4
768,F3,F4
769,z,E4
770,C3D#3G3,D#4D#5
771,C3,C4
772,C3D#3G3,G4G5
773,z,F5
774,z,E5
775,z,G5
776,z,D5F5
777,z,G5
778,F3,F4
779,G3,B4
780,D#3G#3C4,B4D5
781,C3,C4E4
782,D4,A4D5F#5
783,z,z
784,D3F3G#3A#3,A#4D5F5
785,F3G#3C4,F4F5
786,F3,D4
787,z,C5
788,C3,C6
789,z,C5
790,z,z
791,z,D5
792,z,D5
793,D#2,D#5G5A5
794,G3,F#4
795,C2C3,C4D#4G4
796,z,F5
797,z,G4
798,D#3G3A#3,A#4D#5G5
799,C3,C6
800,C#4,C#5
801,z,E4
802,A#2,A#4
803,z,A4
804,G#3A#3D4,F4A#4F5
805,F3,D4
806,z,E4
807,D#3G3C4,D#4G4D#5
808,z,z
809,z,E5
810,C4,D#5
811,z,C5
812,z,D6
813,C4,D#5
814,G3,B4
815,z,F5
816,F3,D4
817,z,E5
818,z,F5
819,z,z
820,z,G4
821,z,F5
822,z,A4
823,E3G3C4,F4A4
824,z,D5
825,z,F5
826,z,D5
827,z,C5
828,C3,C4
829,z,F5
830,z,G4
831,A#2D#3G3,A#4D5
832,z,C5
833,z,E4
834,z,E5
835,D#3G#3C4,C5D#5
836,z,G5
837,z,G5
838,z,F5
839,z,D5
840,z,G3
841,G3,F#4
842,z,G4
843,z,D6
844,z,F5
845,C#4,A4C#5
846,C3D#3G#3,G4C5D#5
847,z,G4
848,z,A4
849,A3,C#5A5
850,G1G2,B3D4G4B4
851,z,G5
852,F3,F4
853,C3,A3
854,z,A4
855,G2,E6
856,F3,D4
857,G3,F#4
858,D#3G#3C4,F5G#5C#6
859,G3,F#4
860,C3,C6
861,G3D4F4G4,B2
862,z,C5
863,C4,G5A#5
864,z,D4F4
865,C3,C6
866,z,E5
867,D#3G#3C4,C5D#5
868,F#3,F#5
869,z,G5
870,A#2,A#3
871,z,G4
872,z,D5
873,z,A5
874,A#2,A#4
875,z,z
876,z,z
877,G3,F#4
878,E3A3C4,B6
879,D3F3G#3A#3,D5F5D6
880,z,D5
881,C3,C4E4
882,z,D6
883,z,D5
884,z,F5
885,z,G5
886,z,z
887,z,C5
888,G#3A#3D4,G#4F5G#5
889,z,D5
890,F3,D4
891,D4,A4D5F#5
892,G3,B4
893,z,z
894,z,z
895,D#3G#3C4,B4D5
896,z,A4
897,C#4,A4C#5
898,F#3,F#5
899,z,B5
900,z,G4
901,z,D5F5
902,F3G3,B3
903,z,E4
904,z,z
905,z,D6
906,C3,C6
907,C4,D#5
908,z,G4
909,z,E5
910,z,z
911,G#3C4D4F4,F3
912,z,A4
913,C#4,C#5
914,C#4,C#5
915,z,E4
916,z,A4
917,G3,A#5
918,z,A5
919,z,A5
920,G2,D4G4B4
921,z,C5
922,G3D4F4,G4B4G5
923,z,F5
924,G3,B4
925,z,z
926,z,A5
927,C3D#3G3,G4G5
928,z,E5C6
929,z,C5
930,z,z
931,D2,A3C#4E4
932,z,z
933,z,A5
934,z,E4
935,z,z
936,z,A5
937,z,E4
938,z,A4
939,z,C5
940,z,D5
941,C2C3,C5D#5G5C6
942,D#3G#3C4,D#5G#5C6
943,z,A4
944,z,z
945,C3F3A#3,F4G#4
946,z,D5
947,C3,C6
948,z,C5
949,G#2,C5D#5G#5C6
950,z,C3D#3G3
951,z,D5
952,z,G5
953,z,C5
954,z,z
955,z,F5
956,G3D4F4,B4D5F5G5B5
957,E4,E4C5
958,G3,B4
959,z,F5
960,F3G3B3,G#4
961,G3,B4
962,F3,F4
963,G3D4F4G4,G2
964,C3D#3G3,D4D5
965,C3D#3G3,G4G5
966,z,A5
967,z,A5
968,z,A4
969,C3D#3F#3,F#4F#5
970,z,C5
971,C3,C6
972,z,G5
973,z,C5
974,z,C5
975,C3,C6
976,C#4,A4C#5E5
977,z,G5
978,A#2D#3G3,G4A#4D#5
979,z,G4
980,F3G#3A#3D4,A#4F5A#5
981,G2,F6
982,G3,B4
983,D#3G3C#4,D#5G5C6
984,z,E5
985,G3,B4
986,G3,B4
987,C3D#3G3,C4C5
988,z,z
989,z,C5
990,z,A4
991,z,z
992,z,C5
993,E2,E3G3B3
994,z,G4
995,F3,F5A5
996,D#3G3A#3,A#4D#5G5
997,z,z
998,F3G3,B3
999,z,G4
1000,G3,B4
1001,A3,C#5A5
1002,F3G#3C4,F5G#5C6F6
1003,z,A5
1004,D3,F4G4
1005,z,E5
1006,z,D5
1007,z,D4F4
1008,z,D5
1009,C3D#3F#3,F#4F#5
1010,z,A5
1011,z,F5
1012,z,C5
1013,E3A3C4,B6
1014,z,E5
1015,C4,G5A#5
1016,z,z
1017,z,D5
1018,D#3G#3C4,C5D#5
1019,G3,F#4
1020,z,C5
1021,F3,F4
1022,D3,D5F#5A5
1023,D#3G3C#4,D#5G5C6
1024,z,D5
1025,z,G5
1026,D#3G#3C4,F5G#5C#6
1027,z,G4
1028,z,C5
1029,G3D4F4,B4D5F5G5B5
1030,C4D#4G4,F#3
1031,z,G4
1032,F#3,F#5
1033,z,C5
1034,z,A4
1035,F3G#3C4,F4F5
1036,F3,F4
1037,F#3,F#5
1038,z,D5
1039,z,A4
1040,z,G5
1041,z,D#5G5
1042,z,D6
1043,z,C5
1044,z,D5
1045,A#2,A#4
1046,z,D5
1047,D3,G4B4
1048,z,G4
1049,z,A4
1050,z,E5
1051,F3,D4
1052,z,E4
1053,z,B5D6
1054,z,C3D#3G3
1055,z,A4
1056,F3G#3C4,F5G#5C6F6
1057,z,D5
1058,z,A5
1059,z,z
1060,z,G5
1061,z,G3
1062,z,F5
1063,A#2D3G#3,F4A#4D5
1064,z,E4
1065,z,C3D#3G3
1066,z,D5
1067,C3,C6
1068,z,D5
1069,z,E5
1070,F3,F4
1071,z,z
1072,z,z
1073,F3,F4
1074,z,A5
1075,z,G4
1076,z,D4F4
1077,G#3A#3D4,F4A#4F5
1078,z,D5
1079,z,F5
1080,z,G4
1081,z,E5
1082,z,D4F4
1083,z,E5
1084,z,F5
1085,C3D#3G3,D#4D#5
1086,z,D5F5
1087,z,A4
1088,z,F5
1089,D#3G#3C4,C5D#5
1090,z,E5
1091,C#4,C#5
1092,C4D#4G4,D3
1093,F#3,F#5
1094,z,F5
1095,A#2,A#4
1096,F4,F4B4
1097,F#4,A4F#5A5
1098,z,D5
1099,G3,B4
1100,C3,C6
1101,z,D5
1102,z,z
1103,z,A4
1104,z,A4
1105,E3G3,C5E5
1106,z,E5
1107,z,E5
1108,C2C3,C5D#5G5C6
1109,z,C3D#3G3
1110,z,A4
1111,z,E5C6
1112,z,A4
1113,F3,F4
1114,C#4,C#5
1115,z,D5F5
1116,z,G4
1117,C2C3,C4D#4G4
1118,z,F5
1119,z,z
1120,C3,C4
1121,D4,A4D5F#5
1122,z,G#5C6
1123,C#4,C#5
1124,z,E5C6
1125,z,G4
1126,F3,F4
1127,z,G4
1128,z,D#5G5
1129,z,E5
1130,z,D5
1131,z,C5
1132,z,B5
1133,z,z
1134,z,F5
1135,G3,D#4
1136,G3,F#4
1137,z,G4
1138,z,D5
1139,z,C5
1140,z,F5
1141,z,E5
1142,z,G4
1143,z,F5
1144,z,z
1145,z,B5
1146,G3,B4
1147,G3,B4
1148,z,z
1149,D#3G3C#4,C#5C#6
1150,z,G5
1151,F3,D4
1152,A2,F#3A3C#4
1153,z,z
1154,z,D5
1155,z,A4
1156,z,C5
1157,D2A2F#3,D4F#4A4D5
1158,z,z
1159,F3,D4
1160,z,G4
1161,z,z
1162,z,G4
1163,G3,B4
1164,F3,F4
1165,G#2D#3F3,G4D#5
1166,G3,B4
1167,G3,F#4
1168,G3,B4
1169,z,E4
1170,F3,D4
1171,z,z
1172,z,A4
1173,z,C5
1174,z,G4
1175,F3G#3C4,F4F5
1176,z,D5F5
1177,F3G#3C4,C5F5G#5C6
1178,F3A3C4,A4C5
1179,G3,B4
1180,z,G5
1181,z,z
1182,A2,F#3A3C#4
1183,z,z
1184,F3,F4
1185,D3F3G#3A#3,D5F5D6
1186,C#4,C#5
1187,D#3G#3C4,C5D#5
1188,z,F5G#5
1189,z,C6D#6
1190,C4,D#5
1191,G3,B4
1192,z,G3
1193,z,G5
1194,F3G3,B3
1195,z,A4
1196,z,G5
1197,D#3G3C#4,D5G5B5
1198,F3,D4
1199,z,A4
1200,G3,B4
1201,G2,D4G4B4
1202,G#2,C5D#5G#5C6
1203,A#2D#3G3,A#4D#5A#5
1204,C#4,C#5
1205,z,C5
1206,z,z
1207,z,E5
1208,z,A4
1209,C4,D#5
1210,G3,B4
1211,C4,G5A#5
1212,z,A4
1213,C3D#3G3,C4C5
1214,z,z
1215,z,A4
1216,C4D#4G4,G#3
1217,z,A5
1218,z,F5
1219,z,C5
1220,z,E5
1221,z,D5F5
1222,z,D5
1223,E3G3,C5E5
1224,z,A4
1225,F3,F5A5
1226,D2,A3C#4E4
1227,z,F5
1228,E3G3,C5E5
1229,G3,D#4
1230,z,F5
1231,D3G#3A#3,F4D5
1232,C3,C6
1233,z,z
1234,A#2,A#4
1235,z,G5
1236,F3,F4
1237,C3D#3G3,D#5G5D#6
1238,z,G5
1239,z,G4
1240,F3G#3C4,G5D6G6
1241,z,E5
1242,G3,B4
1243,F#3,F#5
1244,F3G#3C4D4,A#3D4F4
1245,G3,B4
1246,z,G5
1247,z,G5
1248,z,G3
1249,E3G3,E5A5
1250,z,A5
1251,F3,D4
1252,z,z
1253,F3,F5A5
1254,z,G3
1255,G3,F#4
1256,C3D#3G3,C4C5
1257,z,C5
1258,C2C3,C4D#4G4
1259,z,G5
1260,z,G4
1261,G3,F#4
1262,z,B5
1263,F3,F4
1264,G3C4D#4,D5G5D6
1265,F#4,A4F#5A5
1266,z,G3
1267,z,E5
1268,z,C5
1269,G3,F#4
1270,D#3G#3C4,C5D#5
1271,z,G5
1272,z,z
1273,C3,C6
1274,F3,F4
1275,G#2,C5D#5G#5C6
1276,D#2,G#4C5
1277,z,z
1278,G2,D4G4B4
1279,z,E5
1280,A3,C4F#4
1281,z,E5
1282,C2C3,C5D#5G5C6
1283,G3,A#5
1284,z,G5
1285,z,G5
1286,E2E3,B3E4G#4
1287,F#3C4D#4,F#5C6D#6F#6
1288,z,z
1289,C4D#4G4,C3
1290,C3,C6
1291,z,F5G#5
1292,C4D#4G4,G#3
1293,A#2,A#4
1294,z,A4
1295,z,A4
1296,C4D#4G4,C3
1297,z,C5
1298,F3G3B3,G#4
1299,z,G5
1300,z,F5
1301,z,E5
1302,A#1,C4D#4
1303,F3,D4
1304,z,A5
1305,z,G5
1306,z,G4
1307,F3,F4
1308,G3,B4
1309,z,C5
1310,z,A5
1311,F3G#3C4,F5G#5C6F6
1312,z,A4
1313,F3,A5C6
1314,G3,B4
1315,z,B5
1316,z,C5
1317,z,A5
1318,D3F3G3,B3B4
1319,z,C5
1320,z,B5
1321,z,G4
1322,z,G4
1323,F3,D4
1324,z,z
1325,z,A4
1326,z,B5
1327,C#4,C#5
1328,z,E5
1329,z,E4
1330,F3,D4
1331,z,B5D6
1332,z,D5
1333,z,z
1334,z,z
1335,D#3G3C#4,D#5G5C6
1336,G#2,C5D#5G#5C6
1337,G3,F#4
1338,z,E4
1339,A#2C3E3,E4G4C5
1340,A#2,A#4
1341,z,B5
1342,z,E5
1343,G3,B4
1344,z,E5
1345,G#3D4,C4F4
1346,z,A5
1347,z,B5
1348,A#2D#3G3,G4A#4
1349,E3G3C4,F4A4
1350,G3,E4G4
1351,C3,C4E4
1352,z,z
1353,C4,D#5
1354,G3,B4
1355,C#4,C#5
1356,G3,B4
1357,F#2,C#5F#5
1358,z,F5
1359,z,F5
1360,z,F5
1361,z,A5
1362,z,D5
1363,D#3G#3C4,B4D5
1364,C2C3,C5D#5G5C6
1365,A#2,A#4
1366,z,E5
1367,z,D6
1368,z,C5
1369,C3D#3G3,G4G5
1370,z,A4
1371,z,G4
1372,z,D#5G5
1373,z,A4
1374,z,B5D6
1375,z,z
1376,z,C5
1377,D#3G#3C4,C5D#5
1378,G3,F#4
1379,A#2C3E3,E4G4C5
1380,z,C5
1381,G3,B3D4
1382,z,D5F5
1383,z,C5
1384,z,C5
1385,z,B5D6
1386,z,G4
1387,z,G4
1388,z,A5
1389,C#4,C#5
1390,G1G2,G2B2D3G3
1391,z,z
1392,A#2,A#4
1393,z,G5
1394,G#3C4D4F4,F3
1395,z,F5
1396,C2C3,C4D#4G4
1397,z,E4
1398,z,D5
1399,E3G3,C5E5
1400,z,G5
1401,D#3G#3C4,C5D#5
1402,D#3G3A#3,D#4G4A#4
1403,z,A5
1404,D3,F#4A4D5
1405,F3,F4
1406,z,E5
1407,G3,B4
1408,D#3G3C4,D#4G4D5
1409,z,D5
1410,F3,D4
1411,G3,F#4
1412,z,z
1413,F3,F4
1414,z,A4
1415,z,F5
1416,z,z
1417,A#2,A#3
1418,z,G5
1419,z,E4
1420,G3,B4
1421,z,F5
1422,z,E4
1423,F3G#3C4,F4F5
1424,z,D5
1425,z,C5
1426,D#3G3A#3,A#4D#5G5
1427,z,G5
1428,z,z
1429,G2,B4G5
1430,z,z
1431,z,G5
1432,z,G4
1433,G#2,C5D#5G#5C6
1434,z,D5
1435,C4,D#5
1436,z,G4
1437,F3G3,B3
1438,z,C3D#3G3
1439,z,G5
1440,z,G5
1441,z,D5
1442,z,A5
1443,z,z
1444,A2,F#3A3C#4
1445,z,C5
1446,z,E5
1447,F3,D4
1448,z,z
1449,F3G3B3,G#4
1450,F3,D4
1451,z,z
1452,F3G#3A#3D4,F4G#4A#4D5
1453,z,G5
1454,z,G4
1455,z,z
1456,z,C5
1457,z,F5
1458,C#4,C#5
1459,z,D5
1460,G3,B4
1461,G3,B4
1462,z,E4
1463,z,A5
1464,G#2,C5D#5G#5C6
1465,A#2,A#4
1466,z,C5
1467,D#3G#3C4,C5D#5
1468,C3D#3G3,D#4D#5
1469,D2,A3C#4E4A4
1470,C3,C4E4
1471,z,A5
