,L,R
379,G2,A#3D4G4
380,G2,A#3D4G4
381,G2,A#3D4G4
382,G2,A#3D4G4
383,G2,A#3D4G4
384,z,B5
385,D3,F4G4
386,D3,G4B4
387,G3C4,G5C6
388,C3,E4G4C5
389,A4,A4D5
390,D4,G5B5
391,F4,F4B4
392,F#2F#3,A4C5
393,E2,G#4B4
394,E3,A4C#5E5A5
395,A2,F#5D6
396,F2F3,A5F6
397,z,D#4F#4
398,A2A3,C#5E5A5
399,D3,C4A4
400,A#3,A#4D5
401,E2,E3C4
402,E3G3C4,G4A#4
403,G2D3,G5G6
404,z,E4G4
405,C3E3G3,C4C5
406,z,D4A#4
407,C4D4,B4G#5
408,G3,D5F5
409,A3,C#5A5
410,F3,F#3C4
411,F3,A5C6
412,A2A3,G4A4C#5
413,A#3,C5D#5
414,z,F#4A4
415,C2,E3G3
416,G2,E5A5
417,F3,F5A5
418,z,F#5
419,z,G4C#5
420,G3D4,B4G5
421,D2,D3
422,B3D4,E5C6
423,A#3,G4C5
424,G2,F6
425,C3C4,G5A#5E6
426,A3,C4F#4
427,G3,D#4
428,D3D4,A4D5F#5
429,E4,E4C5
430,z,B4
431,z,C6
432,B3,G#5
433,A3,C#6
434,A2,D4F#4A4D5
435,z,D#4A4
436,F2,A3F4
437,z,F#3
438,z,z
439,z,B3F4
440,z,E4G#4
441,A3,B4D5
442,F3G3,F5G5
443,z,D6
444,C3,C4
445,B2,D4F4
446,A3,G#4
447,z,C#5
448,C4,G4E5
449,A3,C#4E4
450,D4,E5G5
451,D3,F#4D5
452,D3,D4A4
453,F#3,B5D6
454,C3,E5G5C6
455,A#2,A#3
456,F3G3,B4F5
457,z,B3
458,z,G3
459,D4,F3
460,F#3,C5D5
461,C3C4,G4A#4E5
462,E3G3,C5E5
463,B2,A3F#4
464,F#3,B4D5G5
465,z,E3
466,A2,D4F#4
467,C4,G5A#5
468,z,C4E4
469,A3,D5F#5
470,C4,B3D4G4
471,z,F#5A5
472,C4D4,C5A5
473,F#3,D5B5
474,G3,B3G4
475,z,B3D4
476,D#3,A3D#4
477,z,D#5G5
478,G3,E6
479,z,F3D4
480,F2F3,F4A4F5
481,C4D4,G#5B5
482,E2,A4C#5
483,D3,G#3
484,F4,A3C4F4
485,E2E3,D4E4G#4
486,A3,C#5E5
487,z,A3
488,E2E3,G#4B4E5
489,z,F4A4
490,B3,G4D5
491,D2,C#4
492,E2,D3B3
